net,length_um
u_cas_diff.u_diff3.in_min1\[22\],9.62µm
_0440_,9.57µm
_0529_,9.57µm
_0548_,9.57µm
_0628_,9.57µm
_0655_,9.57µm
u_cas_diff.u_diff3.in_min1\[4\],9.57µm
_0045_,9.52µm
_0048_,9.52µm
_0089_,9.52µm
_0098_,9.52µm
_0158_,9.52µm
_0264_,9.52µm
_0321_,9.52µm
_0431_,9.52µm
_0558_,9.52µm
_0857_,9.52µm
_0876_,9.52µm
_0887_,9.52µm
_0555_,9.06µm
_0642_,9.06µm
_0029_,9.01µm
_0070_,9.01µm
_0102_,9.01µm
_0130_,9.01µm
_0165_,9.01µm
_0413_,9.01µm
_0441_,9.01µm
_0461_,9.01µm
_0697_,9.01µm
_0798_,9.01µm
_1023_,9.01µm
_0136_,8.96µm
_0506_,8.96µm
_0549_,8.96µm
_0614_,8.96µm
_0687_,8.96µm
_0689_,8.96µm
_0846_,8.96µm
_0928_,8.96µm
_0997_,8.96µm
_0007_,8.5µm
_0039_,8.5µm
_0359_,8.5µm
_0418_,8.5µm
_0856_,8.5µm
_0900_,8.5µm
_0075_,8.45µm
_0090_,8.45µm
_0104_,8.45µm
_0145_,8.45µm
_0329_,8.45µm
_0785_,8.45µm
_1024_,8.45µm
_0086_,8.4µm
_0097_,8.4µm
_0124_,8.4µm
_0140_,8.4µm
_0168_,8.4µm
_0176_,8.4µm
_0475_,8.4µm
_0580_,8.4µm
_0741_,8.4µm
_0751_,8.4µm
_0893_,8.4µm
_0925_,8.4µm
_0034_,7.94µm
_0105_,7.94µm
u_cas_diff.u_diff1.in_min1\[17\],7.94µm
_0010_,7.89µm
_0021_,7.89µm
_0027_,7.89µm
_0059_,7.89µm
_0084_,7.89µm
_0099_,7.89µm
_0106_,7.89µm
_0107_,7.89µm
_0111_,7.89µm
_0126_,7.89µm
_0131_,7.89µm
_0133_,7.89µm
_0407_,7.89µm
_0545_,7.89µm
_0729_,7.89µm
u_cas_diff.u_diff3.in_min1\[10\],7.89µm
_0003_,7.84µm
_0053_,7.84µm
_0068_,7.84µm
_0110_,7.84µm
_0122_,7.84µm
_0314_,7.84µm
_0320_,7.84µm
_0377_,7.84µm
_0463_,7.84µm
_0587_,7.84µm
_0653_,7.84µm
_0681_,7.84µm
_0758_,7.84µm
_0800_,7.84µm
_0803_,7.84µm
_0838_,7.84µm
_0860_,7.84µm
_0302_,7.38µm
_0524_,7.38µm
_0559_,7.38µm
_0572_,7.38µm
_0754_,7.38µm
_0865_,7.38µm
_0917_,7.38µm
_0970_,7.38µm
_0121_,7.33µm
_0395_,7.33µm
_0786_,7.33µm
_0988_,7.33µm
u_cas_diff.u_diff2.in_min1\[8\],7.33µm
_0041_,7.28µm
_0067_,7.28µm
_0181_,7.28µm
_0278_,7.28µm
_0345_,7.28µm
_0346_,7.28µm
_0513_,7.28µm
_0530_,7.28µm
_0539_,7.28µm
_0542_,7.28µm
_0569_,7.28µm
_0654_,7.28µm
_0694_,7.28µm
_0702_,7.28µm
_0789_,7.28µm
_0793_,7.28µm
_0809_,7.28µm
_0939_,7.28µm
